id,content,start,end,Category,style
0,Background,2026-01-20,,Individual Assignment,background-color: gold;
1,Intro Assignment,2026-01-11,,Individual Assignment,background-color: gold;
2,Paper critique,2026-02-20,,Individual Assignment,background-color: pink;
3,Analysis Assignment,2026-03-06,,Individual Assignment,background-color: pink;
4,Project Proposal Lightning Talks,2026-01-29,,Group Project,background-color: lavender;
5,Written Project Proposal,2026-02-20,,Group Project,background-color: lavender;
6,Project Progress Report,2026-03-27,,Group Project,background-color: lavender;
7,Github Repo,2026-03-31,,Group Project,background-color: lavender;
8,Individual Report,2026-04-10,,Group Project,background-color: lavender;
9,Seminar 1,2026-01-06,,Seminar,background-color: palegreen;
10,Seminar 2a & 2b,2026-01-13,,Seminar,background-color: palegreen;
11,Seminar 3,2026-01-20,,Seminar,background-color: palegreen;
12,Seminar 4,2026-01-27,,Seminar,background-color: palegreen;
13,Seminar 5,2026-02-03,,Seminar,background-color: palegreen;
14,Seminar 6,2026-02-17,,Seminar,background-color: palegreen;
15,Seminar 7,2026-02-24,,Seminar,background-color: palegreen;
16,Seminar 8,2026-03-03,,Seminar,background-color: palegreen;
17,Presentation Day 1,2026-03-31,,Group Project,background-color: #6600ff; color: white;
18,Presentation Day 2,2026-04-02,,Group Project,background-color: #6600ff; color: white;
19,Presentation Day 3,2026-04-07,,Group Project,background-color: #6600ff; color: white;
20,Presentation Day 4,2026-04-09,,Group Project,background-color: #6600ff; color: white;
